-2.3255,-2.9265,-3.2024,-3.3908,-3.632,-3.6647
-1.9606,-2.6133,-3.0416,-3.3775,-3.5409,-3.5456
-1.8757,-2.5325,-2.9544,-3.3562,-3.5032,-3.5206
-1.8781,-2.5145,-2.936,-3.3541,-3.5461,-3.5642
-1.8591,-2.4998,-2.9405,-3.3461,-3.6001,-3.561
-1.8469,-2.5072,-2.9557,-3.3188,-3.5882,-3.5726
-1.834,-2.4871,-2.924,-3.2937,-3.4731,-3.5187
-1.8649,-2.5001,-2.9406,-3.3598,-3.5474,-3.5256
-1.8573,-2.515,-2.9264,-3.3244,-3.5834,-3.5058
-1.8452,-2.5108,-2.9614,-3.3511,-3.6165,-3.5473
-1.8364,-2.4944,-2.9378,-3.312,-3.5653,-3.5286
-1.8614,-2.5075,-2.9561,-3.338,-3.5524,-3.5181
-1.8529,-2.5039,-2.9346,-3.3534,-3.5784,-3.537
-1.835,-2.5006,-2.9581,-3.3441,-3.6186,-3.5668
-1.8298,-2.4763,-2.9166,-3.3135,-3.6091,-3.5957
-1.8485,-2.4913,-2.9176,-3.3061,-3.5952,-3.5708
-1.8476,-2.4959,-2.9289,-3.327,-3.6194,-3.5702
-1.8321,-2.4955,-2.9508,-3.3387,-3.6093,-3.5605
-1.8226,-2.4818,-2.9209,-3.3249,-3.5988,-3.5512
-1.8418,-2.4841,-2.923,-3.3357,-3.5973,-3.5498
-1.8448,-2.4932,-2.9309,-3.355,-3.6189,-3.5592
-1.8241,-2.4895,-2.9445,-3.3533,-3.6022,-3.5678
-1.8221,-2.4778,-2.9262,-3.3304,-3.5969,-3.5545
-1.8414,-2.4808,-2.9244,-3.3367,-3.5998,-3.552
-1.8367,-2.484,-2.9351,-3.3439,-3.6068,-3.5503
-1.8213,-2.4874,-2.9369,-3.3515,-3.6103,-3.5448
-1.8154,-2.4314,-2.8155,-2.9493,-3.4025,-3.3867
-1.8384,-2.4539,-2.856,-3.019,-3.5058,-3.4934
-1.8362,-2.4703,-2.9008,-3.1847,-3.552,-3.5218
-1.8199,-2.4829,-2.9253,-3.2439,-3.3949,-3.3263
-1.8146,-2.4228,-2.6684,-2.6787,-3.2621,-3.3196
-1.8364,-2.4299,-2.7039,-2.6866,-3.3182,-3.4047
-1.8326,-2.4603,-2.7911,-2.91,-3.4294,-3.4635
-1.8194,-2.4755,-2.8778,-3.1036,-3.5442,-3.4922
-1.7987,-2.4443,-2.8594,-3.1432,-3.3891,-3.4173
-1.8425,-2.4561,-2.8896,-3.1623,-3.3541,-3.4189
-1.8367,-2.4583,-2.8273,-2.8973,-2.6702,-2.6429
-1.8207,-2.4697,-2.8316,-2.9581,-2.7029,-2.6881
